Distance_(mm),Gray_Value
23.8967,188.182
23.9143,192.219
23.9318,196.322
23.9493,198.439
23.9668,199.370
23.9843,200.118
24.0019,200.645
24.0194,201.074
24.0369,201.523
24.0544,201.857
24.0719,201.398
24.0895,201.759
24.1070,202.543
24.1245,203.926
24.1420,202.767
24.1595,202.046
24.1771,202.590
24.1946,203.357
24.2121,203.568
24.2296,204.336
24.2471,205.015
24.2647,204.788
24.2822,204.802
24.2997,203.190
24.3172,200.957
24.3347,199.411
24.3523,198.532
24.3698,196.743
24.3873,194.186
24.4048,191.060
24.4223,188.222
24.4399,183.634
24.4574,176.451
24.4749,168.723
24.4924,164.390
24.5099,160.265
24.5275,155.986
24.5450,152.597
24.5625,150.666
24.5800,149.043
24.5975,147.551
24.6151,145.783
24.6326,144.823
24.6501,143.074
24.6676,141.331
24.6851,139.386
24.7027,137.355
24.7202,135.652
24.7377,133.323
24.7552,130.721
24.7727,127.783
24.7902,125.268
24.8078,123.885
24.8253,122.599
24.8428,120.018
24.8603,115.884
24.8778,113.821
24.8954,112.411
24.9129,111.529
24.9304,111.121
24.9479,111.886
24.9654,115.074
24.9830,117.252
25.0005,119.074
25.0180,120.438
25.0355,121.484
25.0530,124.526
25.0706,127.563
25.0881,131.273
25.1056,134.858
25.1231,136.875
25.1406,138.984
25.1582,139.442
25.1757,139.243
25.1932,139.394
25.2107,140.185
25.2282,141.523
25.2458,144.553
25.2633,147.133
25.2808,148.851
25.2983,149.437
25.3158,150.403
25.3334,151.908
25.3509,153.454
25.3684,156.415
25.3859,159.118
25.4034,161.918
25.4210,164.361
25.4385,166.550
25.4560,166.372
25.4735,165.324
25.4910,164.182
25.5086,163.654
25.5261,164.114
25.5436,165.276
25.5611,165.662
25.5786,165.350
25.5962,164.894
25.6137,162.791
25.6312,160.705
25.6487,159.105
25.6662,158.501
25.6838,159.373
25.7013,161.369
25.7188,163.508
25.7363,164.555
25.7538,163.062
25.7713,160.512
25.7889,157.797
25.8064,156.388
25.8239,155.477
25.8414,152.361
25.8589,148.291
25.8765,145.603
25.8940,145.959
25.9115,146.325
25.9290,146.345
25.9465,144.410
25.9641,142.109
25.9816,139.996
25.9991,138.215
26.0166,136.492
26.0341,134.960
26.0517,132.977
26.0692,130.410
26.0867,128.477
26.1042,127.388
26.1217,125.097
26.1393,121.433
26.1568,117.617
26.1743,112.732
26.1918,107.574
26.2093,105.111
26.2269,105.414
26.2444,103.134
26.2619,99.244
26.2794,96.114
26.2969,94.557
26.3145,92.809
26.3320,93.693
26.3495,98.975
26.3670,104.948
26.3845,107.547
26.4021,108.323
26.4196,108.946
26.4371,109.396
26.4546,110.018
26.4721,111.694
26.4897,113.732
26.5072,115.089
26.5247,115.295
26.5422,116.533
26.5597,120.070
26.5772,123.234
26.5948,124.814
26.6123,127.133
26.6298,128.486
26.6473,129.399
26.6648,130.578
26.6824,131.366
26.6999,130.745
26.7174,131.667
26.7349,134.219
26.7524,136.492
26.7700,136.538
26.7875,136.488
26.8050,136.414
26.8225,137.884
26.8400,139.296
