Distance_(mm),Gray_Value
22.5127,230.402
22.5302,231.235
22.5477,230.914
22.5653,237.829
22.5828,244.958
22.6003,247.173
22.6178,247.816
22.6353,249.892
22.6529,251.647
22.6704,252.030
22.6879,252.813
22.7054,253.136
22.7229,253.586
22.7405,253.680
22.7580,254.217
22.7755,254.525
22.7930,254.801
22.8105,254.877
22.8281,254.881
22.8456,254.882
22.8631,254.883
22.8806,254.883
22.8981,254.884
22.9157,254.992
22.9332,255.000
22.9507,255.000
22.9682,255.000
22.9857,255.000
23.0033,255.000
23.0208,255.000
23.0383,255.000
23.0558,255.000
23.0733,255.000
23.0908,255.000
23.1084,255.000
23.1259,255.000
23.1434,255.000
23.1609,255.000
23.1784,255.000
23.1960,255.000
23.2135,255.000
23.2310,255.000
23.2485,255.000
23.2660,255.000
23.2836,255.000
23.3011,255.000
23.3186,255.000
23.3361,255.000
23.3536,255.000
23.3712,255.000
23.3887,255.000
23.4062,255.000
23.4237,255.000
23.4412,255.000
23.4588,255.000
23.4763,255.000
23.4938,255.000
23.5113,255.000
23.5288,255.000
23.5464,255.000
23.5639,255.000
23.5814,255.000
23.5989,255.000
23.6164,255.000
23.6340,255.000
23.6515,255.000
23.6690,255.000
23.6865,255.000
23.7040,255.000
23.7216,255.000
23.7391,255.000
23.7566,255.000
23.7741,255.000
23.7916,255.000
23.8092,255.000
23.8267,254.839
23.8442,254.710
23.8617,254.710
23.8792,254.710
23.8967,254.710
23.9143,254.710
23.9318,254.710
23.9493,254.710
23.9668,254.710
23.9843,254.710
24.0019,254.710
24.0194,254.710
24.0369,254.710
24.0544,254.710
24.0719,254.710
24.0895,254.710
24.1070,254.750
24.1245,254.839
24.1420,254.839
24.1595,254.839
24.1771,254.839
24.1946,254.839
24.2121,254.839
24.2296,254.839
24.2471,254.839
24.2647,254.839
24.2822,254.839
24.2997,254.839
24.3172,254.839
24.3347,254.839
24.3523,254.839
24.3698,254.839
24.3873,254.962
24.4048,255.000
24.4223,255.000
24.4399,255.000
24.4574,255.000
24.4749,255.000
24.4924,255.000
24.5099,255.000
24.5275,255.000
24.5450,255.000
24.5625,255.000
24.5800,255.000
24.5975,255.000
24.6151,255.000
24.6326,255.000
24.6501,255.000
24.6676,255.000
24.6851,255.000
24.7027,255.000
24.7202,255.000
24.7377,255.000
24.7552,255.000
24.7727,255.000
24.7902,255.000
24.8078,255.000
24.8253,255.000
24.8428,255.000
24.8603,255.000
24.8778,255.000
24.8954,255.000
24.9129,255.000
24.9304,255.000
24.9479,255.000
24.9654,255.000
24.9830,255.000
25.0005,255.000
25.0180,255.000
25.0355,255.000
25.0530,255.000
25.0706,255.000
25.0881,255.000
25.1056,255.000
25.1231,255.000
25.1406,255.000
25.1582,255.000
25.1757,255.000
25.1932,255.000
25.2107,255.000
25.2282,255.000
25.2458,255.000
25.2633,255.000
25.2808,255.000
25.2983,254.791
25.3158,254.747
25.3334,254.748
25.3509,254.749
25.3684,254.749
25.3859,254.750
25.4034,254.751
25.4210,254.752
25.4385,254.957
25.4560,255.000
25.4735,255.000
25.4910,255.000
25.5086,255.000
25.5261,255.000
25.5436,255.000
25.5611,255.000
25.5786,255.000
25.5962,255.000
25.6137,255.000
25.6312,255.000
25.6487,255.000
25.6662,255.000
25.6838,255.000
25.7013,255.000
25.7188,255.000
25.7363,255.000
25.7538,255.000
25.7713,254.918
25.7889,254.616
25.8064,254.471
25.8239,254.559
25.8414,254.595
25.8589,254.340
25.8765,254.436
25.8940,254.593
25.9115,253.441
25.9290,252.330
25.9465,250.885
25.9641,249.472
25.9816,247.758
25.9991,246.420
26.0166,245.827
